Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Sean Kuraly,BOS,L,C,1993-01-20,Dublin,OH,USA,USA,74,213,2011,5,133,20162017,N,46,9,10,19
Evgeny Kuznetsov,WSH,L,C,1992-05-19,Chelyabinsk,--,RUS,RUS,74,197,2010,1,26,20142015,N,64,22,33,55
Jordan Kyrou,STL,R,C,1998-05-05,Toronto,ON,CAN,CAN,72,175,2016,2,35,20192020,N,5,0,0,0
Kevin Labanc,SJS,R,R,1995-12-12,Brooklyn,NY,USA,USA,71,185,2014,6,171,20172018,N,30,5,9,14
Andrew Ladd,NYI,L,L,1985-12-12,Maple Ridge,BC,CAN,CAN,75,192,2004,1,4,20052006,N,8,1,1,2
Paul LaDue,LAK,R,D,1992-09-06,Grand Forks,ND,USA,USA,74,200,2012,6,181,20172018,N,2,1,0,1
Sam Lafferty,PIT,R,C,1995-03-06,Hollidaysburg,PA,USA,USA,73,195,2014,4,113,20192020,N,1,0,0,0
Patrik Laine,WPG,R,R,1998-04-19,Tampere,--,FIN,FIN,77,206,2016,1,2,20172018,N,24,8,8,16
Gabriel Landeskog,COL,L,L,1992-11-23,Stockholm,--,SWE,SWE,73,215,2011,1,2,20132014,N,32,9,19,28
Dylan Larkin,DET,L,C,1996-07-30,Waterford,MI,USA,USA,73,198,2014,1,15,20152016,N,5,1,0,1
Adam Larsson,EDM,R,D,1992-11-12,Skellefteå,--,SWE,SWE,75,208,2011,1,4,20112012,N,15,2,4,6
Scott Laughton,PHI,L,C,1994-05-30,Oakville,ON,CAN,CAN,73,190,2012,1,20,20152016,N,24,6,4,10
Jeremy Lauzon,BOS,L,D,1997-04-28,Val D'or,QC,CAN,CAN,73,204,2015,2,52,20192020,N,6,0,0,0
Curtis Lazar,BUF,R,C,1995-02-02,Salmon Arm,BC,CAN,CAN,72,211,2013,1,17,20142015,N,1,0,0,0
Vincent Lecavalier,--,L,C,1980-04-21,Ile Bizard,QC,CAN,CAN,76,215,1998,1,1,20022003,N,5,1,1,2
Nick Leddy,NYI,L,D,1991-03-20,Eden Prairie,MN,USA,USA,72,207,2009,1,16,20102011,N,41,5,7,12
Anders Lee,NYI,L,L,1990-07-03,Edina,MN,USA,USA,75,231,2009,6,151,20142015,N,30,8,7,15
Artturi Lehkonen,MTL,L,L,1995-07-04,Piikkio,--,FIN,FIN,72,176,2013,2,55,20162017,N,16,3,5,8
Jori Lehtera,--,L,C,1987-12-23,Helsinki,--,FIN,FIN,74,212,2008,3,65,20142015,N,34,4,11,15
Brendan Lemieux,NYR,L,L,1996-03-15,Denver,CO,USA,USA,73,213,2014,2,31,20192020,N,1,0,0,0
Kris Letang,PIT,R,D,1987-04-24,Montreal,QC,CAN,CAN,72,201,2005,3,62,20072008,N,43,6,21,27
Mark Letestu,WPG,R,C,1985-02-04,Elk Point,AB,CAN,CAN,70,195,--,--,--,20092010,N,19,5,6,11
Trevor Lewis,LAK,R,C,1987-01-08,Salt Lake City,UT,USA,USA,73,202,2006,1,17,20102011,N,9,2,0,2
John-Michael Liles,--,L,D,1980-11-25,Indianapolis,IN,USA,USA,70,185,2000,5,159,20032004,N,6,0,2,2
Oscar Lindberg,--,L,L,1991-10-29,Skellefteå,--,SWE,SWE,73,202,2010,2,57,20152016,N,17,3,2,5
Oskar Lindblom,PHI,L,L,1996-08-15,Gävle,--,SWE,SWE,73,191,2014,5,138,20172018,N,6,0,0,0
Esa Lindell,DAL,L,D,1994-05-23,Vantaa,--,FIN,FIN,75,215,2012,3,74,20182019,N,37,2,9,11
Ryan Lindgren,NYR,L,D,1998-02-11,Burnsville,MN,USA,USA,72,191,2016,2,49,20192020,N,3,0,1,1
Elias Lindholm,CGY,R,C,1994-12-02,Boden,--,SWE,SWE,73,195,2013,1,5,20182019,N,15,3,5,8
Hampus Lindholm,ANA,L,D,1994-01-20,Helsingborg,--,SWE,SWE,75,208,2012,1,6,20132014,N,28,2,7,9
Par Lindholm,BOS,L,C,1991-10-05,Kusmark,--,SWE,SWE,72,183,--,--,--,20182019,N,8,0,0,0
Bryan Little,WPG,R,C,1987-11-12,Edmonton,AB,CAN,CAN,72,191,2006,1,12,20142015,N,23,2,7,9
Ben Lovejoy,--,R,D,1984-02-20,Concord,NH,USA,USA,73,205,--,--,--,20102011,N,42,3,5,8
Adam Lowry,WPG,L,C,1993-03-29,St. Louis,MO,USA,USA,77,210,2011,3,67,20142015,N,27,2,4,6
Milan Lucic,CGY,L,L,1988-06-07,Vancouver,BC,CAN,CAN,75,231,2006,2,50,20072008,N,28,3,12,15
Olli Maatta,CHI,L,D,1994-08-22,Jyväskylä,--,FIN,FIN,74,206,2012,1,22,20132014,N,65,5,18,23
Clarke MacArthur,OTT,L,L,1985-04-06,Lloydminster,AB,CAN,CAN,72,192,2003,3,74,20122013,N,19,3,6,9
Andrew MacDonald,--,L,D,1986-09-07,Judique,NS,CAN,CAN,73,204,2006,6,160,20122013,N,12,3,0,3
Mackenzie MacEachern,STL,L,L,1994-03-09,Bloomfield Hills,MI,USA,USA,74,190,2012,3,67,20192020,N,5,0,0,0
Zack MacEwen,VAN,R,C,1996-07-08,Charlottetown,PE,CAN,CAN,75,205,--,--,--,20192020,N,6,0,0,0
Derek MacKenzie,--,L,C,1981-06-11,Sudbury,ON,CAN,CAN,71,177,1999,5,128,20132014,N,6,0,1,1
Nathan MacKinnon,COL,R,C,1995-09-01,Halifax,NS,CAN,CAN,72,200,2013,1,1,20132014,N,33,18,26,44
Saku Maenalanen,CAR,L,R,1994-05-29,Kemi,--,FIN,FIN,76,207,2013,5,125,20182019,N,9,0,1,1
Cale Makar,COL,R,D,1998-10-30,Calgary,AB,CAN,CAN,71,187,2017,1,4,20182019,N,25,5,16,21
Evgeni Malkin,PIT,L,C,1986-07-31,Magnitogorsk,--,RUS,RUS,75,195,2004,1,2,20062007,N,65,21,37,58
Andrew Mangiapane,CGY,L,L,1996-04-04,Toronto,ON,CAN,CAN,70,184,2015,6,166,20182019,N,15,3,3,6
Brandon Manning,EDM,L,D,1990-06-04,Prince George,BC,CAN,CAN,73,205,--,--,--,20152016,N,12,0,1,1
Josh Manson,ANA,R,D,1991-10-07,Hinsdale,IL,USA,CAN,75,224,2011,6,160,20152016,N,22,0,3,3
Brad Marchand,BOS,L,L,1988-05-11,Halifax,NS,CAN,CAN,69,181,2006,3,71,20102011,N,55,21,35,56
Alexey Marchenko,--,R,D,1992-01-02,Moscow,--,RUS,RUS,75,210,2011,7,205,20142015,N,3,0,0,0
Jonathan Marchessault,VGK,R,C,1990-12-27,Cap-Rouge,QC,CAN,CAN,69,180,--,--,--,20142015,N,52,15,23,38
Martin Marincin,TOR,L,D,1992-02-18,Kosice,--,SVK,SVK,77,217,2010,2,46,20162017,N,9,0,0,0
John Marino,PIT,R,D,1997-05-21,North Easton,MA,USA,USA,73,181,2015,6,154,20192020,N,4,0,1,1
Andrei Markov,--,L,D,1978-12-20,Voskresensk,--,RUS,RUS,72,200,1998,6,162,20012002,N,6,0,1,1
Patrick Marleau,PIT,L,C,1979-09-15,Aneroid,SK,CAN,CAN,74,215,1997,1,2,19971998,N,48,12,12,24
Mitchell Marner,TOR,R,R,1997-05-05,Markham,ON,CAN,CAN,72,175,2015,1,4,20162017,N,25,5,16,21
Pat Maroon,TBL,L,L,1988-04-23,St. Louis,MO,USA,USA,75,236,2007,6,161,20132014,N,66,8,12,20
Matt Martin,NYI,L,L,1989-05-08,Windsor,ON,CAN,CAN,75,220,2008,5,148,20122013,N,47,5,3,8
Paul Martin,--,L,D,1981-03-05,Minneapolis,MN,USA,USA,73,200,2000,2,62,20032004,N,37,1,5,6
Alec Martinez,VGK,L,D,1987-07-26,Rochester Hills,MI,USA,USA,73,209,2007,4,95,20102011,N,25,2,6,8
Jordan Martinook,CAR,L,L,1992-07-25,Brandon,MB,CAN,CAN,72,196,2012,2,58,20182019,N,18,2,5,7
Andreas Martinsen,--,L,L,1990-06-13,Bærum,--,NOR,NOR,74,225,--,--,--,20162017,N,2,0,0,0
Brandon Mashinter,--,L,L,1988-09-20,Bradford,ON,CAN,CAN,76,212,--,--,--,20152016,N,2,0,0,0
Mike Matheson,PIT,L,D,1994-02-27,Pointe-Claire,QC,CAN,CAN,74,188,2012,1,23,20152016,N,7,0,1,1
Auston Matthews,TOR,L,C,1997-09-17,San Ramon,CA,USA,USA,75,220,2016,1,1,20162017,N,25,12,7,19
Scott Mayfield,NYI,R,D,1992-10-14,St. Louis,MO,USA,USA,77,223,2011,2,34,20142015,N,30,1,6,7
Charlie McAvoy,BOS,R,D,1997-12-21,Long Beach,NY,USA,USA,72,208,2016,1,14,20162017,N,54,4,16,20
Jamie McBain,--,R,D,1988-02-25,Edina,MN,USA,USA,73,195,2006,2,63,20152016,N,4,0,0,0
Jared McCann,PIT,L,C,1996-05-31,Stratford,ON,CAN,CAN,73,185,2014,1,24,20182019,N,6,0,2,2
Michael McCarron,NSH,R,R,1995-03-07,Grosse Pointe,MI,USA,USA,78,232,2013,1,25,20162017,N,1,0,0,0
Connor McDavid,EDM,L,C,1997-01-13,Richmond Hill,ON,CAN,CAN,73,193,2015,1,1,20162017,N,17,10,8,18
Ryan McDonagh,TBL,L,D,1989-06-13,St. Paul,MN,USA,USA,73,214,2007,1,12,20102011,N,55,3,14,17
Colin McDonald,--,R,R,1984-09-30,Wethersfield,CT,USA,USA,74,208,2003,2,51,20122013,N,3,0,0,0
Brock McGinn,CAR,L,L,1994-02-02,Fergus,ON,CAN,CAN,72,187,2012,2,47,20182019,N,23,3,5,8
Jamie McGinn,--,L,L,1988-08-05,Fergus,ON,CAN,CAN,73,205,2006,2,36,20092010,N,7,2,0,2
Dylan McIlrath,DET,R,D,1992-04-20,Winnipeg,MB,CAN,CAN,77,231,2010,1,10,20152016,N,1,0,0,0
Greg McKegg,NYR,L,C,1992-06-17,St. Thomas,ON,CAN,CAN,72,192,2010,3,62,20152016,N,18,2,0,2
Curtis McKenzie,VGK,L,L,1991-02-22,Golden,BC,CAN,CAN,74,205,2009,6,158,20152016,N,1,0,0,0
Cody McLeod,--,L,L,1984-06-26,Binscarth,MB,CAN,CAN,74,204,--,--,--,20072008,N,15,1,0,1
Brayden McNabb,VGK,L,D,1991-01-21,Davidson,SK,CAN,CAN,76,213,2009,3,66,20152016,N,52,2,7,9
Adam McQuaid,--,R,D,1986-10-12,Charlottetown,PE,CAN,CAN,76,210,2005,2,55,20092010,N,14,1,2,3
Timo Meier,SJS,L,R,1996-10-08,Herisau,--,CHE,CHE,72,210,2015,1,9,20162017,N,35,7,13,20
Jon Merrill,VGK,L,D,1992-02-03,Oklahoma City,OK,USA,USA,75,195,2010,2,38,20172018,N,16,0,1,1
Victor Mete,MTL,L,D,1998-06-07,Woodbridge,ON,CAN,CAN,69,187,2016,4,100,20192020,N,10,0,2,2
Marc Methot,--,L,D,1985-06-21,Ottawa,ON,CAN,CAN,76,230,2003,6,168,20082009,N,18,2,2,4
Ilya Mikheyev,TOR,L,R,1994-10-10,Omsk,--,RUS,RUS,75,195,--,--,--,20192020,N,5,0,0,0
Sonny Milano,ANA,L,L,1996-05-12,Massapequa,NY,USA,USA,72,194,2014,1,16,20162017,N,4,0,0,0
Colin Miller,BUF,R,D,1992-10-29,Sault Ste. Marie,ON,CAN,CAN,73,193,2012,5,151,20162017,N,30,4,7,11
J.T. Miller,VAN,L,C,1993-03-14,East Palestine,OH,USA,USA,73,218,2011,1,15,20132014,N,55,8,26,34
Kevan Miller,BOS,R,D,1987-11-15,Los Angeles,CA,USA,USA,74,210,--,--,--,20132014,N,18,1,3,4
Torrey Mitchell,--,R,C,1985-01-30,Greenfield Park,QC,CAN,CAN,71,186,2004,4,126,20072008,N,7,1,0,1
Travis Moen,--,L,L,1982-04-06,Stewart Valley,SK,CAN,CAN,74,215,2000,5,155,20052006,N,6,0,0,0
Sean Monahan,CGY,L,C,1994-10-12,Brampton,ON,CAN,CAN,74,200,2013,1,6,20142015,N,19,7,8,15
Brandon Montour,BUF,R,D,1994-04-11,Brantford,ON,CAN,CAN,72,189,2014,2,55,20162017,N,21,0,8,8
Dominic Moore,--,L,C,1980-08-03,Thornhill,ON,CAN,CAN,72,192,2000,3,95,20052006,N,13,1,1,2
John Moore,BOS,L,D,1990-11-19,Winnetka,IL,USA,USA,74,210,2009,1,21,20122013,N,16,0,1,1
Trevor Moore,LAK,L,C,1995-03-31,Thousand Oaks,CA,USA,USA,70,185,--,--,--,20182019,N,7,1,0,1
Josh Morrissey,WPG,L,D,1995-03-28,Calgary,AB,CAN,CAN,72,195,2013,1,13,20172018,N,26,1,3,4
Joe Morrow,--,L,D,1992-12-09,Edmonton,AB,CAN,CAN,72,196,2011,1,23,20162017,N,11,1,1,2
Tyler Motte,VAN,L,C,1995-03-10,St. Clair,MI,USA,USA,70,192,2013,4,121,20192020,N,17,4,1,5
Mirco Mueller,NJD,L,D,1995-03-21,Winterthur,--,CHE,CHE,75,210,2013,1,18,20172018,N,3,0,0,0
Connor Murphy,CHI,R,D,1993-03-26,Dublin,OH,USA,USA,76,212,2011,1,20,20192020,N,9,0,4,4
Ryan Murphy,--,R,D,1993-03-31,Aurora,ON,CAN,CAN,71,181,2011,1,12,20172018,N,1,0,0,0
Ryan Murray,CBJ,L,D,1993-09-27,Regina,SK,CAN,CAN,73,206,2012,1,2,20132014,N,15,1,1,2
Jake Muzzin,TOR,L,D,1989-02-21,Woodstock,ON,CAN,CAN,75,217,2007,5,141,20122013,N,16,1,6,7
Philippe Myers,PHI,R,D,1997-01-25,Moncton,NB,CAN,CAN,77,210,--,--,--,20192020,N,16,3,1,4
Tyler Myers,VAN,R,D,1990-02-01,Houston,TX,USA,CAN,80,229,2008,1,12,20092010,N,32,4,3,7
Vladislav Namestnikov,COL,L,C,1992-11-22,Zhukovskiy,--,RUS,RUS,72,183,2011,1,27,20142015,N,29,5,3,8
Rick Nash,--,L,L,1984-06-16,Brampton,ON,CAN,CAN,76,211,2002,1,1,20082009,N,29,8,6,14
Riley Nash,CBJ,R,C,1989-05-09,Consort,AB,CAN,CAN,74,185,2007,1,21,20162017,N,32,2,6,8
James Neal,EDM,L,L,1987-09-03,Whitby,ON,CAN,CAN,75,212,2005,2,33,20102011,N,64,18,13,31
Martin Necas,CAR,R,C,1999-01-15,Nove Mesto na Morave,--,CZE,CZE,74,189,2017,1,12,20192020,N,8,1,3,4
Chris Neil,--,R,R,1979-06-18,Flesherton,ON,CAN,CAN,73,209,1998,6,161,20012002,N,2,0,0,0
Brock Nelson,NYI,L,C,1991-10-15,Warroad,MN,USA,USA,75,212,2010,1,30,20122013,N,41,14,13,27
Patrik Nemeth,DET,L,D,1992-02-08,Stockholm,--,SWE,SWE,75,228,2010,2,41,20132014,N,13,0,1,1
Nikita Nesterov,--,L,D,1993-03-28,Chelyabinsk,--,RUS,RUS,71,191,2011,5,148,20142015,N,11,0,1,1
Valeri Nichushkin,COL,L,R,1995-03-04,Chelyabinsk,--,RUS,RUS,76,210,2013,1,10,20132014,N,26,2,2,4
Nino Niederreiter,CAR,L,R,1992-09-08,Chur,--,CHE,CHE,74,218,2010,1,5,20132014,N,38,3,10,13
Frans Nielsen,DET,L,C,1984-04-24,Herning,--,DNK,DNK,73,186,2002,3,87,20122013,N,11,3,3,6
Matt Nieto,COL,L,L,1992-11-05,Long Beach,CA,USA,USA,71,185,2011,2,47,20132014,N,48,6,10,16
Matt Niskanen,PHI,R,D,1986-12-06,Virginia,MN,USA,USA,73,203,2005,1,28,20072008,N,71,3,17,20
Stefan Noesen,SJS,R,R,1993-02-12,Plano,TX,USA,USA,73,205,2011,1,21,20172018,N,4,1,0,1
Joakim Nordstrom,BOS,L,C,1992-02-25,Stockholm,--,SWE,SWE,73,194,2010,3,90,20132014,N,36,3,7,10
Tomas Nosek,VGK,L,L,1992-09-01,Pardubice,--,CZE,CZE,74,205,--,--,--,20172018,N,32,6,3,9
Ryan Nugent-Hopkins,EDM,L,C,1993-04-12,Burnaby,BC,CAN,CAN,72,184,2011,1,1,20162017,N,17,2,10,12
Darnell Nurse,EDM,L,D,1995-02-04,Hamilton,ON,CAN,CAN,76,221,2013,1,7,20162017,N,17,0,4,4
Markus Nutivaara,CBJ,L,D,1994-06-06,Oulu,--,FIN,FIN,73,187,2015,7,189,20162017,N,12,1,1,2
Alex Nylander,CHI,R,L,1998-03-02,Calgary,AB,CAN,CAN,73,192,2016,1,8,20192020,N,8,0,0,0
William Nylander,TOR,R,R,1996-05-01,Calgary,AB,CAN,SWE,72,196,2014,1,8,20162017,N,25,5,10,15
Gustav Nyquist,CBJ,L,C,1989-09-01,Halmstad,--,SWE,SWE,71,179,2008,4,121,20112012,N,35,2,12,14
Eric Nystrom,--,L,L,1983-02-14,Syosset,NY,USA,USA,73,200,2002,1,10,20072008,N,1,0,0,0
Logan O'Connor,COL,R,R,1996-08-14,Missouri City,TX,USA,USA,72,175,--,--,--,20192020,N,5,0,1,1
Ryan O'Reilly,STL,L,C,1991-02-07,Clinton,ON,CAN,CAN,73,216,2009,2,33,20092010,N,35,12,22,34
Johnny Oduya,--,L,D,1981-10-01,Stockholm,--,SWE,SWE,72,191,2001,7,221,20062007,N,17,1,2,3
Jordan Oesterle,ARI,L,D,1992-06-25,Dearborn Heights,MI,USA,USA,72,182,--,--,--,20192020,N,9,1,3,4
Kyle Okposo,BUF,R,R,1988-04-16,St. Paul,MN,USA,USA,72,216,2006,1,7,20122013,N,11,2,6,8
Jamie Oleksiak,DAL,L,D,1992-12-21,Toronto,ON,CAN,CAN,79,255,2011,1,14,20172018,N,40,6,3,9
Dmitry Orlov,WSH,L,D,1991-07-23,Novokuznetsk,--,RUS,RUS,71,208,2009,2,55,20152016,N,63,2,17,19
Brooks Orpik,--,L,D,1980-09-26,San Francisco,CA,USA,USA,75,217,2000,1,18,20062007,N,50,2,7,9
T.J. Oshie,WSH,R,R,1986-12-23,Everett,WA,USA,USA,72,195,2005,1,24,20082009,N,61,22,26,48
Steve Ott,--,L,C,1982-08-19,Summerside,PE,CAN,CAN,72,193,2000,1,25,20022003,N,15,0,1,1
Xavier Ouellet,MTL,L,D,1993-07-29,Bayonne,--,FRA,FRA,73,193,2011,2,48,20132014,N,10,0,1,1
Alex Ovechkin,WSH,R,L,1985-09-17,Moscow,--,RUS,RUS,75,236,2004,1,1,20072008,N,64,33,28,61
Magnus Paajarvi,--,L,L,1991-04-12,Norrkoping,--,SWE,SWE,75,206,2009,1,10,20152016,N,11,1,3,4
Max Pacioretty,VGK,L,L,1988-11-20,New Canaan,CT,USA,USA,74,215,2007,1,22,20122013,N,29,10,10,20
Jean-Gabriel Pageau,NYI,R,C,1992-11-11,Ottawa,ON,CAN,CAN,70,180,2011,4,96,20122013,N,41,16,5,21
Iiro Pakarinen,--,R,R,1991-08-25,Loviisa,--,FIN,FIN,73,212,2011,7,184,20162017,N,1,0,0,0
Ondrej Palat,TBL,L,L,1991-03-28,Frydek-Mistek,--,CZE,CZE,72,194,2011,7,208,20132014,N,60,21,18,39
Kyle Palmieri,NJD,R,R,1991-02-01,Smithtown,NY,USA,USA,71,185,2009,1,26,20102011,N,5,1,2,3
Artemi Panarin,NYR,R,L,1991-10-30,Korkino,--,RUS,RUS,71,170,--,--,--,20152016,N,30,10,18,28
Richard Panik,WSH,L,R,1991-02-07,Martin,--,SVK,SVK,74,202,2009,2,52,20132014,N,18,1,4,5
Cedric Paquette,TBL,L,C,1993-08-13,Gaspe,QC,CAN,CAN,72,204,2012,4,101,20132014,N,60,2,4,6
Colton Parayko,STL,R,D,1993-05-12,St. Albert,AB,CAN,CAN,78,230,2012,3,86,20152016,N,66,8,18,26
PA Parenteau,--,R,R,1983-03-24,Hull,QC,CAN,CAN,72,200,2001,9,264,20132014,N,5,0,0,0
Zach Parise,MIN,L,L,1984-07-28,Minneapolis,MN,USA,USA,71,195,2003,1,17,20052006,N,12,5,4,9
David Pastrnak,BOS,R,R,1996-05-25,Havirov,--,CZE,CZE,72,194,2014,1,25,20162017,N,52,20,33,53
Nolan Patrick,PHI,R,C,1998-09-19,Winnipeg,MB,CAN,CAN,74,198,2017,1,2,20172018,N,6,1,1,2
Joe Pavelski,DAL,R,C,1984-07-11,Plover,WI,USA,USA,71,195,2003,7,205,20062007,N,77,32,28,60
Tanner Pearson,VAN,L,L,1992-08-10,Kitchener,ON,CAN,CAN,73,201,2012,1,30,20122013,N,26,5,6,11
Adam Pelech,NYI,L,D,1994-08-16,Toronto,ON,CAN,CAN,75,218,2012,3,65,20182019,N,29,1,6,7
Mathieu Perreault,WPG,L,L,1988-01-05,Drummondville,QC,CAN,CAN,70,188,2006,6,177,20112012,N,18,1,2,3
David Perron,STL,R,L,1988-05-28,Sherbrooke,QC,CAN,CAN,72,200,2007,1,26,20082009,N,68,13,25,38
Corey Perry,DAL,R,R,1985-05-16,Peterborough,ON,CAN,CAN,75,205,2003,1,28,20052006,N,52,6,15,21
Brett Pesce,CAR,R,D,1994-11-15,Tarrytown,NY,USA,USA,75,206,2013,3,66,20182019,N,15,0,6,6
Alexander Petrovic,BOS,R,D,1992-03-03,Edmonton,AB,CAN,CAN,76,216,2010,2,36,20152016,N,6,1,3,4
Jeff Petry,MTL,R,D,1987-12-09,Ann Arbor,MI,USA,USA,75,201,2006,2,45,20142015,N,16,3,1,4
Elias Pettersson,VAN,L,C,1998-11-12,Sundsvall,--,SWE,SWE,74,176,2017,1,5,20192020,N,17,7,11,18
Marcus Pettersson,PIT,L,D,1996-05-08,Skellefteå,--,SWE,SWE,75,177,2014,2,38,20172018,N,12,0,1,1
Dion Phaneuf,--,L,D,1985-04-10,Edmonton,AB,CAN,CAN,76,222,2003,1,9,20052006,N,23,1,5,6
Alex Pietrangelo,STL,R,D,1990-01-18,King City,ON,CAN,CAN,75,210,2008,1,4,20112012,N,66,6,33,39
Brian Pinho,WSH,R,C,1995-05-11,Beverly,MA,USA,USA,73,193,2013,6,174,20192020,N,2,0,0,0
Neal Pionk,WPG,R,D,1995-07-29,Omaha,NE,USA,USA,72,186,--,--,--,20192020,N,4,0,2,2
Brandon Pirri,VGK,L,C,1991-04-10,Toronto,ON,CAN,CAN,73,180,2009,2,59,20182019,N,1,0,0,0
Tyler Pitlick,PHI,R,C,1991-11-01,Minneapolis,MN,USA,USA,74,200,2010,2,31,20182019,N,22,2,1,3
Tomas Plekanec,--,L,C,1982-10-31,Kladno,--,CZE,CZE,71,190,2001,3,71,20052006,N,13,3,4,7
Brayden Point,TBL,R,C,1996-03-13,Calgary,AB,CAN,CAN,70,166,2014,3,79,20172018,N,41,19,26,45
Roman Polak,DAL,R,D,1986-04-28,Ostrava,--,CZE,CZE,74,240,2004,6,180,20082009,N,46,0,2,2
Jason Pominville,--,R,R,1982-11-30,Repentigny,QC,CAN,CAN,71,180,2001,2,55,20052006,N,11,4,4,8
Tucker Poolman,WPG,R,D,1993-06-08,Dubuque,IA,USA,USA,74,199,2013,5,127,20172018,N,6,0,0,0
Chris Porter,--,L,L,1984-05-29,Toronto,ON,CAN,CAN,73,206,2003,9,282,20122013,N,6,1,0,1
Benoit Pouliot,--,L,L,1986-09-29,Alfred,ON,CAN,CAN,75,200,2005,1,4,20072008,N,13,0,0,0
Derrick Pouliot,STL,L,D,1994-01-16,Estevan,SK,CAN,CAN,72,196,2012,1,8,20152016,N,2,0,0,0
Shane Prince,--,L,L,1992-11-16,Rochester,NY,USA,USA,71,193,2011,2,61,20152016,N,11,3,1,4
Nate Prosser,PHI,R,D,1986-05-07,Elk River,MN,USA,USA,74,201,--,--,--,20132014,N,14,0,3,3
Ivan Provorov,PHI,L,D,1997-01-13,Yaroslavl,--,RUS,RUS,73,201,2015,1,7,20172018,N,22,3,8,11
Ryan Pulock,NYI,R,D,1994-10-06,Dauphin,MB,CAN,CAN,74,217,2013,1,15,20152016,N,36,3,11,14
Teddy Purcell,--,R,L,1985-09-08,St. John's,NL,CAN,CAN,74,195,--,--,--,20102011,N,6,2,0,2
Tom Pyatt,--,L,L,1987-02-14,Thunder Bay,ON,CAN,CAN,71,185,2005,4,107,20092010,N,14,2,0,2
Mark Pysyk,FLA,R,D,1992-01-11,Sherwood Park,AB,CAN,CAN,73,196,2010,1,23,20192020,N,4,0,0,0
John Quenneville,CHI,L,C,1996-04-16,Edmonton,AB,CAN,CAN,73,195,2014,1,30,20192020,N,2,0,0,0
Kyle Quincey,--,L,D,1985-08-12,Kitchener,ON,CAN,CAN,74,210,2003,4,132,20062007,N,6,0,2,2
Alan Quine,CGY,L,C,1993-02-25,Belleville,ON,CAN,CAN,72,203,2013,6,166,20152016,N,13,1,5,6
Lukas Radil,SJS,R,C,1990-08-05,Caslav,--,CZE,CZE,76,205,--,--,--,20182019,N,6,0,0,0
Alexander Radulov,DAL,L,R,1986-07-05,Nizhny Tagil,--,RUS,RUS,73,205,2004,1,15,20062007,N,43,15,19,34
Michael Raffl,PHI,L,L,1988-12-01,Villach,--,AUT,AUT,72,200,--,--,--,20132014,N,21,5,2,7
Rickard Rakell,ANA,R,L,1993-05-05,Sundbyberg,--,SWE,SWE,72,196,2011,1,30,20132014,N,26,9,7,16
Mikko Rantanen,COL,L,R,1996-10-29,Nousiainen,--,FIN,FIN,76,215,2015,1,10,20172018,N,33,13,26,39
Dennis Rasmussen,--,L,C,1990-07-03,Vasteras,--,SWE,SWE,75,192,--,--,--,20162017,N,3,1,0,1
Kyle Rau,MIN,L,C,1992-10-24,Eden Prairie,MN,USA,USA,68,176,2011,3,91,20172018,N,1,0,0,0
Matt Read,--,R,R,1986-06-14,Ilderton,ON,CAN,CAN,70,188,--,--,--,20112012,N,12,1,1,2
Ryan Reaves,VGK,R,R,1987-01-20,Winnipeg,MB,CAN,CAN,74,225,2005,5,156,20112012,N,52,2,4,6
Griffin Reinhart,--,L,D,1994-01-24,North Vancouver,BC,CAN,CAN,76,212,2012,1,4,20142015,N,1,0,1,1
Mike Ribeiro,--,L,C,1980-02-10,Montreal,QC,CAN,CAN,72,179,1998,2,45,20032004,N,12,0,2,2
Brad Richards,--,L,C,1980-05-02,Murray Hbr.,PE,CAN,CAN,72,199,1998,3,64,20022003,N,5,1,0,1
Mike Richards,--,L,C,1985-02-11,Kenora,ON,CAN,CAN,71,196,2003,1,24,20052006,N,12,0,0,0
Brad Richardson,ARI,L,C,1985-02-04,Belleville,ON,CAN,CAN,72,190,2003,5,163,20052006,N,9,2,1,3
Tobias Rieder,CGY,L,C,1993-01-10,Landshut,--,DEU,DEU,71,186,2011,4,114,20172018,N,14,3,2,5
Morgan Rielly,TOR,L,D,1994-03-09,Vancouver,BC,CAN,CAN,73,219,2012,1,5,20162017,N,25,3,13,16
Zac Rinaldo,CGY,L,C,1990-06-15,Mississauga,ON,CAN,CAN,70,192,2008,6,178,20102011,N,5,0,0,0
Brett Ritchie,BOS,R,R,1993-07-01,Orangeville,ON,CAN,CAN,76,220,2011,2,44,20152016,N,3,0,0,0
Nick Ritchie,BOS,L,L,1995-12-05,Orangeville,ON,CAN,CAN,74,230,2014,1,10,20162017,N,27,5,0,5
Nicholas Robertson,TOR,L,L,2001-09-11,Pasadena,CA,USA,USA,69,164,2019,2,53,20192020,N,4,1,0,1
Buddy Robinson,CGY,R,R,1991-09-30,Bellmawr,NJ,USA,USA,78,232,--,--,--,20192020,N,1,0,0,0
Eric Robinson,CBJ,L,L,1995-06-14,Bellmawr,NJ,USA,USA,74,197,--,--,--,20192020,N,10,1,0,1
Jack Roslovic,WPG,R,C,1997-01-29,Columbus,OH,USA,USA,73,187,2015,1,25,20172018,N,20,0,5,5
